Control_R 6974 1 27  1 855720485 52359018
Control_R 5716 1 18  1 -1260531804 1534741417
Control_L 3529 1 18  0 750304836 1014177379
Control_L 5304 0 18  1 1044320150 -87087171
Control_L 6853 0 18  0 987042315 -1939049084
Control_L 4061 1 9  0 78621250 -1419901427
Control_L 5393 1 27  0 -895126066 2124666798
Control_R 1867 1 9  1 1048679770 -1727615846
Control_L 4907 0 27  0 -1452492912 1983106507
Control_R 4218 0 18  1 -11601387 -217681988
Control_L 6370 1 27  0 -1452492912 1983106507
Control_L 9675 1 27  0 1562379431 -75648061
Control_L 9812 0 27  0 1562379431 -75648061
Control_R 1384 0 9  1 -845259464 -838261423
Control_L 4777 1 9  0 -1935238854 2115705326
Control_R 2021 0 18  1 1737224167 1805413131
Control_R 15084 0 27  1 -1290880573 -1200799383
Control_R 3954 1 27  1 -1118687266 970505103
Control_R 1796 0 18  1 -1260531804 1534741417
Control_R 16399 0 27  1 -2014727935 1455444666
Control_R 2217 0 9  1 1974404567 1402430195
Control_L 9192 1 27  1 271810350 1326568178
Control_R 4727 1 18  1 1293294972 -194809036
Control_L 6461 0 9  0 78621250 -1419901427
Control_L 4812 1 18  0 -1294517345 -1411119801
Control_R 2484 1 9  1 1228553654 -650876696
Control_R 1329 1 9  1 -845259464 -838261423
Control_L 10166 1 9  0 944756390 -1117000280
Control_R 2736 0 9  1 -623439656 1398567728
Control_R 4944 1 27  1 1522143624 -652362948
Control_R 7774 0 9  1 1048679770 -1727615846
Control_L 6048 0 18  0 750304836 1014177379
Control_R 10674 1 27  1 -2014727935 1455444666
Control_R 7743 0 27  1 271810350 1326568178
Control_R 4348 1 27  1 -1290880573 -1200799383
Control_L 8664 0 27  0 -1521494120 -1427095069
Control_R 7995 0 9  1 -1631623187 82966570
Control_L 7669 1 18  1 1044320150 -87087171
Control_L 7567 0 9  0 944756390 -1117000280
Control_L 7908 1 9  0 -1810680023 680228731
Control_R 1843 1 9  1 -623439656 1398567728
Control_R 4664 0 27  1 855720485 52359018
Control_L 5729 0 18  0 2839195 1857034800
Control_R 1885 1 18  1 1363622103 448826532
Control_L 5193 1 27  0 -712997390 -1290616899
Control_L 2670 0 9  0 1573002596 -1927171301
Control_L 4764 1 18  0 2839195 1857034800
Control_L 8505 1 18  0 987042315 -1939049084
Control_L 15777 1 27  0 -1521494120 -1427095069
Control_L 7130 0 27  0 -712997390 -1290616899
Control_L 3656 0 18  0 -1294517345 -1411119801
Control_L 8813 1 18  0 278483323 818975949
Control_R 11970 1 18  1 -11601387 -217681988
Control_R 4885 0 27  1 -1118687266 970505103
Control_L 7068 0 27  0 -895126066 2124666798
Control_R 2677 0 9  1 1228553654 -650876696
Control_L 4174 0 9  0 -1935238854 2115705326
Control_R 8002 0 27  1 1522143624 -652362948
Control_R 2708 1 9  1 -1631623187 82966570
Control_R 1756 1 9  1 1974404567 1402430195
Control_R 2300 1 18  1 1737224167 1805413131
Control_L 11190 1 27  0 -1894069331 1727837131
Control_L 9337 0 18  0 -1672430307 -1437430519
Control_L 6528 1 18  0 -1672430307 -1437430519
Control_L 12043 0 27  0 -1894069331 1727837131
Control_L 9965 0 18  0 278483323 818975949
Control_L 7503 1 9  0 1424550317 -869949931
Control_R 1788 0 18  1 1363622103 448826532
Control_R 5384 0 18  1 1293294972 -194809036
Control_L 5289 0 9  0 -1810680023 680228731
Control_L 4217 1 9  0 1573002596 -1927171301
Control_L 3837 0 9  0 1424550317 -869949931
