---
Control_L 3307 1 18  0 898372039 1957591967
Control_R 5611 0 9  1 2071891429 -1915471974
Control_R 3876 1 15  1 -328561041 1623762919
Control_L 1449 0 18  0 1420014236 -972487138
Control_L 5023 0 15  0 -983938866 1643624
Control_R 2372 1 18  1 1244494923 -604233341
Control_L 8988 0 15  0 124229693 -1380212712
Control_L 5038 1 15  1 -1410632662 -104881749
Control_R 6203 1 18  1 1705000019 -1004802696
Control_L 6279 1 12  0 -884903763 1844044148
Control_L 3464 0 15  0 193640279 1502368886
Control_L 3100 0 18  1 -1245094872 584186481
Control_L 3369 1 9  0 -1116931503 -1625893610
Control_R 2061 1 9  1 932260599 33631659
Control_R 1484 1 15  1 949560742 -1552792267
Control_R 2370 1 18  1 1393523233 1402938416
Control_L 7429 0 15  0 -1536873059 -387798240
Control_R 1509 1 9  1 -23971175 551984256
Control_L 3751 1 15  0 -345882548 -2133899303
Control_R 2178 1 15  1 -2062667138 -910576110
Control_L 2504 0 9  1 -1173886282 1452478279
Control_L 5372 1 9  0 1435553041 360524434
Control_L 2047 0 15  0 1733475613 -1848409706
Control_L 4261 0 12  0 194181938 805926011
Control_L 6714 0 18  0 73442012 -619784039
Control_L 6299 0 15  0 -1663460949 -96357056
Control_L 4396 0 15  0 -1545021366 921998580
Control_R 3644 0 18  1 535969684 -219139807
Control_R 1947 0 9  1 85029221 -10716603
Control_R 5064 1 18  1 65097351 28704091
Control_R 3051 0 18  1 -188723617 -444053833
Control_R 3340 0 9  1 -911413364 915543389
Control_R 6798 0 18  1 -1171966132 -984696421
Control_L 4159 0 9  0 -755490084 -68221414
Control_L 3952 1 18  0 2066953840 1295785469
Control_L 1933 0 9  0 33521138 -1351234880
Control_R 2628 1 18  1 892418314 -1945020078
Control_R 3135 1 12  1 -673222019 -776936369
Control_R 8005 0 9  1 1845956751 1118880681
Control_L 4068 0 12  0 -775335373 1230583273
Control_R 1852 1 18  1 1228550825 -986931698
Control_R 2345 0 12  1 -605911399 504123864
Control_L 4909 1 18  0 176921729 611394816
Control_L 1889 0 18  0 -335482571 -1315719275
Control_R 2195 1 15  1 -1395583466 -1691234270
Control_R 6231 0 9  1 589492167 1852873048
Control_R 3396 1 18  1 -1422701391 34774418
Control_L 2693 0 18  0 1704092028 -135321608
Control_L 2464 0 12  0 1815078839 648158866
Control_R 1206 0 9  0 2128352577 -959009241
Control_R 6662 1 15  1 373516646 -389764004
Control_L 3176 0 9  0 -44921202 885325900
Control_R 2094 1 15  1 -1257804482 50628444
Control_L 2662 0 12  0 -591864464 1884324999
Control_R 1865 1 18  1 -1140574159 -1741424597
Control_R 1790 0 12  1 -1696354411 -1683659096
Control_L 1841 0 9  0 -1519738178 986097911
Control_L 3186 1 12  0 -1120824408 -2078147047
Control_L 2202 0 15  1 -1021854807 -2052741309
Control_R 1665 0 12  1 -180619964 1763315730
Control_L 2429 0 15  0 -1894438405 -1380998884
Control_R 1984 0 18  1 126316341 416743055
Control_L 3204 0 15  0 1938808666 2094353984
Control_R 1726 0 9  0 -1472658693 1987521752
Control_L 4175 1 9  0 -93444090 -2003084091
Control_L 2347 0 12  0 479616919 164396195
Control_R 1526 0 9  1 -1438440453 -1515652547
Control_R 2490 0 18  1 -544737490 -362753253
Control_L 3046 1 12  0 -10402551 -1087898252
Control_R 1124 1 9  1 1201472011 1889051464
Control_L 2125 0 9  0 1845043167 108796468
Control_L 4100 0 9  0 1667958530 -437019731
Control_L 8378 1 15  1 1471398495 -30001227
